Id,StepTotal
1503960366,12117
1624580081,5744
1644430081,7283
1844505072,2580
1927972279,916
2022484408,11371
2026352035,5567
2320127002,4717
2347167796,9520
2873212765,7556
3372868164,6862
3977333714,10985
4020332650,2267
4057192912,3838
4319703577,7269
4388161847,10591
4445114986,4797
4558609924,7685
4702921684,9640
5553957443,8613
5577150313,8304
6117666160,7047
6290855005,5650
6775888955,2520
6962181067,9795
7007744171,11323
7086361926,9372
8053475328,14763
8253242879,6482
8378563200,9397
8583815059,7199
8792009665,1854
8877689391,16040
