DayOfWeek,HourBlock,AvgIntensity
Friday,21-24,0.15691823899371143
Friday,12-15,0.28991111111111151
Friday,15-18,0.28503127792672167
Friday,06-09,0.22475555555555465
Friday,00-03,0.025132275132275138
Friday,09-12,0.2448888888888911
Friday,03-06,0.0387125220458556
Friday,18-21,0.35094086021505272
Monday,18-21,0.33549905838041394
Monday,12-15,0.29084967320261434
Monday,00-03,0.016388888888889005
Monday,15-18,0.30351123595505491
Monday,09-12,0.28847222222222391
Monday,03-06,0.048101851851851993
Monday,06-09,0.20611111111111091
Monday,21-24,0.12890772128060185
Saturday,03-06,0.0096539162112932609
Saturday,00-03,0.038555858310626995
Saturday,18-21,0.30752984389348115
Saturday,12-15,0.42920110192837274
Saturday,09-12,0.34125457875457826
Saturday,15-18,0.29637281910008995
Saturday,06-09,0.13647540983606588
Saturday,21-24,0.16501377410468257
Sunday,06-09,0.11822773186409477
Sunday,00-03,0.043985307621671535
Sunday,12-15,0.31290174471992488
Sunday,18-21,0.27421296296296249
Sunday,21-24,0.1206944444444446
Sunday,15-18,0.29704524469067467
Sunday,09-12,0.28916437098255432
Sunday,03-06,0.0091368227731864447
Thursday,18-21,0.30370370370370658
Thursday,21-24,0.15308641975308757
Thursday,12-15,0.30451219512195377
Thursday,09-12,0.27511682242990604
Thursday,06-09,0.2082561728395054
Thursday,15-18,0.319886858137512
Thursday,00-03,0.018199233716474982
Thursday,03-06,0.036566589684372479
Tuesday,09-12,0.26707407407407513
Tuesday,15-18,0.30844444444444374
Tuesday,06-09,0.20207407407407502
Tuesday,18-21,0.32848148148148115
Tuesday,12-15,0.31788888888888817
Tuesday,21-24,0.16311111111111054
Tuesday,03-06,0.051740740740740657
Tuesday,00-03,0.020222222222222211
Wednesday,06-09,0.18452647278150702
Wednesday,03-06,0.035160328113348273
Wednesday,09-12,0.24739000745712433
Wednesday,15-18,0.32093726379440679
Wednesday,21-24,0.12702599388379235
Wednesday,12-15,0.300075585789872
Wednesday,00-03,0.019947800149142433
Wednesday,18-21,0.33601662887377082
