AvgActivityRatio,AvgSleep,AvgSleepEfficiency
0.781718516,7.979444444,0.940209613
0.546314412,7.447333333,0.910476078
0.519506235,7.310882353,0.953717168
0.477341489,7.2,0.939200179
0.457774366,7.467419355,0.961567873
0.447134763,8.436428571,0.941401771
0.43939116,10.863333333,0.678110695
0.438208885,7.944230769,0.947591302
0.386838622,6.0056,0.936514347
0.37908416,6.946,0.948362131
0.373235435,4.95,0.983869289
0.372501269,4.895,0.633838498
0.370809525,7.725806452,0.915410315
0.333332463,5.825,0.930963714
0.330544563,7.243684211,0.926277505
0.325181133,7.5525,0.971399623
0.316456835,2.128,0.908243877
0.304422786,4.9,0.880719774
0.286657372,6.420714286,0.92551518
0.233138482,7.261333333,0.960529604
0.214348981,1.02,0.886956522
0.191644112,1.145,0.957242021
0.113029129,5.83,0.94252261
0.084892739,6.95,0.946844777
