Id,Date,DayOfWeek,TotalTimeInBed_Hours,TotalTimeAsleep_Hours,SleepEfficiency,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,DayType
1503960366,2016-04-26,3,4.57,4.08,0.892778993,31,23,279,333,833,Weekday
1503960366,2016-05-03,3,4.93,4.55,0.922920892,50,24,254,328,816,Weekday
1503960366,2016-04-25,2,5.38,4.62,0.858736059,73,14,216,303,814,Weekday
1503960366,2016-05-09,2,5.7,5.63,0.987719298,46,11,206,263,835,Weekday
1503960366,2016-04-21,5,6.07,5.42,0.89291598,19,8,211,238,838,Weekday
1503960366,2016-05-10,3,6.72,6.38,0.949404762,46,31,214,291,746,Weekday
1503960366,2016-04-30,7,7.08,6.73,0.950564972,52,34,217,303,712,Weekend
1503960366,2016-04-15,6,7.37,6.87,0.932157395,29,34,209,272,726,Weekday
1503960366,2016-05-06,6,6.12,5.57,0.910130719,24,6,289,319,754,Weekday
1503960366,2016-05-01,1,6.6,6.15,0.931818182,33,35,246,314,730,Weekend
1503960366,2016-05-02,2,5.15,4.62,0.897087379,41,15,277,333,798,Weekday
1503960366,2016-04-13,4,6.78,6.4,0.943952802,21,19,217,257,776,Weekday
1503960366,2016-04-28,5,6.55,6.1,0.93129771,48,28,189,265,782,Weekday
1503960366,2016-05-07,7,5.82,5.52,0.948453608,37,46,175,258,833,Weekend
1503960366,2016-04-23,7,6.4,6.02,0.940625,41,21,262,324,732,Weekend
1503960366,2016-04-19,3,5.33,5.07,0.951219512,50,31,264,345,775,Weekday
1503960366,2016-04-24,1,7.48,7.17,0.95855615,39,5,238,282,709,Weekend
1503960366,2016-04-12,3,5.77,5.45,0.944540728,25,13,328,366,728,Weekday
1503960366,2016-04-17,1,11.87,11.67,0.9831508,38,20,164,222,539,Weekend
1503960366,2016-05-05,5,4.4,4.12,0.936363636,45,24,250,319,857,Weekday
1503960366,2016-05-08,1,10.18,9.9,0.972495088,44,8,203,255,574,Weekend
1503960366,2016-05-11,4,5.1,4.75,0.931372549,36,23,251,310,669,Weekday
1503960366,2016-04-20,4,6.28,6,0.955414013,28,12,205,245,818,Weekday
1503960366,2016-04-16,7,6.12,5.67,0.926470588,36,10,221,267,773,Weekend
2026352035,2016-04-12,3,9.1,8.38,0.920879121,3,8,181,192,706,Weekday
2347167796,2016-04-25,2,7.85,7.22,0.919745223,15,11,277,303,653,Weekday
2347167796,2016-04-13,4,8.85,7.78,0.879096045,19,32,195,246,676,Weekday
2347167796,2016-04-21,5,8.07,7.67,0.950433705,23,26,208,257,761,Weekday
2347167796,2016-04-18,2,9.28,8.33,0.89762931,11,16,206,233,678,Weekday
2347167796,2016-04-14,5,8.15,7.42,0.910429448,1,48,206,255,705,Weekday
2347167796,2016-04-27,4,8.32,7.47,0.897836538,26,9,295,330,623,Weekday
2347167796,2016-04-23,7,6.43,6.23,0.968895801,32,35,360,427,591,Weekend
2347167796,2016-04-22,6,7.68,6.75,0.87890625,9,27,206,242,781,Weekday
3977333714,2016-04-22,6,7.93,5.92,0.746532156,33,12,188,233,731,Weekday
3977333714,2016-04-30,7,6.37,3.95,0.620094192,43,52,194,289,687,Weekend
